node1,node2
50,33177
50,33502
50,34072
50,34295
50,34516
50,34580
50,34678
50,35386
50,35600
50,35639
50,35789
50,35918
50,36004
50,36050
50,36193
50,36521
50,36688
50,36934
50,36984
50,37126
50,37459
50,37874
50,37924
50,38049
50,38105
50,38217
50,38366
50,38390
50,38672
50,39226
51,23499
51,28051
51,28758
51,29281
51,31594
51,33502
51,35440
51,36004
51,36738
51,38152
52,21534
52,22563
52,25514
52,25714
52,26979
52,27086
52,28217
52,29281
52,29910
52,30036
52,30063
52,30333
52,31733
52,32087
52,32172
52,32362
52,34088
52,34246
52,34857
52,36004
52,38202
53,21401
53,21534
53,21700
53,25474
53,26167
53,27421
53,28464
53,29177
53,29646
53,29986
53,35237
53,36048
54,21642
54,23260
54,27088
54,27785
54,28201
54,28928
54,30333
54,30626
54,31026
54,32020
54,32087
54,36629
54,39180
57,21534
57,22909
57,23232
57,23663
57,24069
57,25506
57,25704
57,25974
57,27447
57,27529
57,29281
57,29986
57,32627
57,33570
57,34005
57,34610
57,35281
57,36505
57,36528
57,39224
57,39394
58,21719
58,24857
58,27088
58,29281
58,29540
58,33190
58,33946
58,36004
58,36218
58,37070
59,25242
59,26748
59,30450
59,31026
59,37480
60,30651
60,32358
60,35542
60,38113
61,22383
61,23722
61,24439
61,27043
61,27088
61,30036
61,32087
61,33781
61,34434
61,34667
61,36250
61,37152
61,38366
62,21557
62,22326
62,22646
62,22866
62,23739
62,24018
62,24027
62,24422
62,24506
62,24538
62,24854
62,25510
62,26494
62,27088
62,27431
62,27746
62,28959
62,29032
62,29832
62,29847
62,30605
62,31165
62,31809
62,33605
62,34055
62,36004
62,37544
62,38834
63,27088
64,38314
65,22149
65,22968
65,25869
65,25944
65,27088
65,28959
65,29022
65,29281
65,29540
65,30814
65,31148
65,31307
65,31460
65,31717
65,32619
65,34422
65,35433
65,36004
65,37378
66,31834
67,21534
67,22809
67,23569
67,23649
67,26979
67,28414
67,30063
67,31575
67,32087
67,32685
67,37666
68,24131
68,33605
68,33874
68,37070
69,24620
69,27088
69,36004
69,39242
70,22694
70,23277
70,23588
70,24010
70,24541
70,24858
70,26693
70,27018
70,27088
70,28765
70,28959
70,30563
70,33605
70,36713
70,38563
70,38597
71,23912
71,25633
71,27088
71,32825
71,34161
71,36988
71,38999
72,22878
72,23457
72,24240
72,27121
72,30995
72,32825
72,34161
72,37115
72,37875
73,23026
73,23574
73,26502
73,27088
73,29056
73,30063
73,35248
73,36004
74,25652
74,30301
74,32087
74,32825
75,28728
75,31227
75,31447
75,35561
75,36004
76,21534
76,21873
76,21900
76,22043
76,22510
76,23083
76,24444
76,28099
76,29162
76,30454
76,31339
76,32087
76,32184
76,32421
76,32751
76,33358
76,35758
76,39141
77,27088
78,22092
78,22570
78,23739
78,23885
78,24854
78,27088
78,27226
78,33294
78,33605
78,35636
78,36004
78,36050
78,36632
78,38435
78,38787
79,21525
79,25242
79,26287
79,27088
79,33502
79,33926
79,35782
80,27419
80,32139
80,33605
80,33874
80,36050
80,36581
81,24131
81,27088
81,33605
81,33874
81,37070
82,32087
83,22529
83,23930
83,25242
83,26087
83,26372
83,26612
83,26834
83,27290
83,27474
83,28367
83,28408
83,28748
83,29281
83,30036
83,30576
83,30647
83,31097
83,31518
83,32434
83,32657
83,33132
83,33502
83,34021
83,34791
83,36738
83,38171
83,39396
84,21534
84,22909
84,31117
84,31945
84,34610
84,35782
84,37056
85,22053
85,24140
85,24389
85,25723
85,26032
85,26189
85,26326
85,29686
85,31098
85,33605
85,34047
85,34161
85,34523
85,34544
85,34573
85,36004
85,36050
85,37104
85,37223
85,38152
85,39294
86,21954
86,22376
86,24131
86,24235
86,26494
86,26911
86,27088
86,29401
86,32378
86,33605
86,33874
86,34182
86,36087
87,33502
88,26653
88,27088
88,28845
88,30106
88,30327
88,31733
88,32788
88,34143
88,35643
88,36004
88,37573
88,37827
89,21534
89,23756
89,24329
89,24923
89,25217
89,25451
89,25876
89,26023
89,27034
89,27088
89,27572
89,27993
89,28919
89,28925
89,29555
89,29986
89,30115
89,30378
89,31914
89,32129
89,33529
89,33883
89,34148
89,35436
89,37943
89,38286
89,38366
90,21381
90,21761
90,22866
90,23912
90,23960
90,24010
90,24132
90,24651
90,24854
90,24913
90,25320
90,25379
90,27088
90,28215
90,28959
90,29832
90,30293
90,31834
90,32257
90,32487
90,33605
90,33732
90,33892
90,34291
90,34854
90,34958
90,34988
90,36050
90,36339
90,37070
90,37124
91,21534
91,30450
91,31026
91,34917
93,21984
93,22113
93,22349
93,22385
93,22613
93,22878
93,22991
93,23213
93,23848
93,25150
93,25741
93,26100
93,26394
93,26494
93,26911
93,27088
93,27362
93,28629
93,28959
93,29506
93,29527
93,29554
93,30063
93,30773
93,30807
93,31221
93,31421
93,31521
93,32293
93,32378
93,32475
93,33605
93,33971
93,34218
93,34275
93,34297
93,34471
93,34584
93,34692
93,35769
93,35807
93,35849
93,35969
93,36004
93,36087
93,36521
93,37677
93,37755
93,37839
93,38055
93,38722
93,38812
93,38903
93,39115
93,39155
93,39408
94,21738
94,23279
94,29714
94,29986
94,35165
94,36391
95,27088
96,21534
96,21930
96,24802
96,27021
96,27088
96,27880
96,29540
96,30412
96,32087
96,33812
96,35472
96,38366
97,22255
97,22826
97,22964
97,23569
97,25292
97,25527
97,26979
97,27088
97,27918
97,28858
97,28959
97,29281
97,29646
97,30036
97,30232
97,30484
97,33624
97,34313
97,34350
97,36004
97,36191
97,39646
98,22114
98,22721
98,23069
98,25174
98,25242
98,27088
98,29540
98,30063
98,30712
98,31391
98,31733
98,31988
98,32244
98,32607
98,33319
98,34444
98,35260
98,35433
98,36004
98,36050
98,39255
99,21761
99,22260
99,22944
99,23802
99,23859
99,23981
99,24026
99,26979
99,27088
99,27560
99,28354
99,28591
99,28838
99,28959
99,29192
99,29376
99,31316
99,31597
99,33605
99,34161
99,34362
99,34655
99,35007
99,35655
99,36004
99,36050
99,36790
99,38152
101,24757
101,26221
101,30333
101,32087
101,37152
102,23802
102,24131
102,25297
102,25484
102,27088
102,28959
102,29348
102,31736
102,39447
103,21534
103,22731
103,24726
103,27088
103,28734
103,29540
103,30063
103,30333
103,30626
103,32087
103,32535
103,32919
103,36050
103,36959
104,21534
104,22384
104,32087
104,38202
105,22137
105,22926
105,25217
105,25242
105,26491
105,27103
105,29240
105,29421
105,30213
105,31613
105,33502
105,34350
105,34453
105,34516
105,35638
105,35769
105,37743
