node1,node2
498,4524
498,4893
498,4999
498,6210
499,2910
500,5219
501,5553
502,91
502,782
502,2314
502,3205
502,3265
502,4234
502,4364
502,4631
502,5225
502,5597
502,6132
503,1994
504,3048
505,1388
506,744
507,415
508,2796
508,3547
508,5230
509,224
510,3803
511,4697
512,793
513,1151
513,1733
513,4629
514,498
515,678
515,888
515,2921
515,4437
515,4547
515,6185
517,2082
517,3541
517,5312
517,6061
518,1628
518,2180
518,3369
518,6307
519,4202
519,4831
520,3442
521,322
522,1017
523,762
523,1564
523,2469
524,894
524,3941
524,6358
525,1281
525,3287
526,872
527,1048
527,4955
528,4641
529,4323
530,380
530,2967
531,2650
531,4052
532,1699
533,2430
534,95
534,1111
534,3373
534,5591
534,6198
534,6416
535,5958
536,785
537,3605
538,4212
538,4957
539,1119
540,5654
542,2404
542,5955
543,2021
544,5282
544,5899
545,4349
546,1538
547,490
547,583
547,5912
548,4687
549,1752
549,2094
549,3524
549,4126
549,4718
550,3135
551,3038
551,3205
552,6133
553,2720
554,1415
555,1149
555,1584
555,2313
555,4898
555,5717
555,6194
556,917
557,2770
558,4610
559,4071
560,312
561,1305
562,1945
563,5553
564,5615
565,3841
566,1992
567,889
568,852
569,5238
570,662
570,697
571,1625
572,4585
572,5333
573,637
574,1796
574,3758
574,5654
575,4802
576,393
577,3366
578,1477
579,5340
580,872
580,1425
580,2816
580,3287
580,3580
580,4395
580,5160
581,7
582,2965
583,131
583,547
583,1303
583,3063
583,3410
583,4472
583,5390
583,6040
583,6439
584,698
584,4334
584,5836
584,5941
585,4346
585,4897
585,6397
586,376
586,1604
586,3016
586,3647
586,5285
587,2028
587,3940
588,1863
588,2016
588,3389
589,3930
590,791
590,922
590,4787
591,1197
591,1997
592,3750
592,4782
593,2437
593,4330
594,4804
596,3264
596,3795
597,3841
598,4384
599,1738
600,2079
600,6178
601,6193
602,224
603,3350
603,5244
604,1663
605,2450
606,100
606,1870
606,3442
606,4570
606,4656
607,5788
608,5990
609,3968
609,4701
609,5042
610,5623
611,1539
612,1431
612,3349
612,4707
613,828
613,872
613,1076
613,1383
613,1930
613,2197
613,2579
613,2933
613,2995
613,3027
613,3233
613,3402
613,3433
613,4115
613,4313
613,4395
613,4695
613,5211
613,5773
613,5788
613,6296
614,3600
614,3728
614,3811
614,4518
614,6256
615,3047
616,449
616,450
616,1553
616,3606
616,6095
617,228
617,971
617,1167
617,1297
617,3003
617,3805
617,4169
618,903
618,1097
618,2206
619,2822
620,4384
621,1888
622,22
622,1471
622,2905
622,5359
623,1434
624,1434
625,2387
625,3408
626,637
626,1594
626,4736
626,5114
626,5650
626,6359
627,4553
628,3850
629,1859
630,6391
631,4071
632,2046
632,4349
632,5213
632,5512
632,6225
633,471
633,4926
633,5210
634,2740
635,232
635,3290
635,3594
635,3881
635,4991
635,6280
636,6220
637,573
637,626
637,2590
637,3777
637,4753
637,6096
638,2547
638,3481
639,3633
639,4309
640,1191
640,1295
640,4927
641,1618
642,5856
643,3210
644,6220
645,140
645,2484
645,5847
645,6341
645,6385
646,5544
647,6220
648,318
648,2158
648,4048
650,4068
650,4765
651,2598
652,882
652,5588
652,6178
653,3010
654,3389
654,3930
655,4067
656,6220
657,5554
658,1517
658,4208
659,5359
660,6407
661,2821
662,124
662,570
662,4791
662,5134
662,5939
662,6268
663,4384
664,12
664,156
664,850
664,1358
664,1706
664,1982
664,2331
664,2480
664,2704
664,3316
664,3820
664,4097
664,4113
664,4515
664,4816
664,4983
664,5981
664,6283
665,5115
666,3700
667,3806
668,5926
669,1712
669,1751
669,2518
669,3032
669,5060
670,203
670,4071
671,5615
673,4863
674,5772
675,439
675,2648
675,3447
675,4911
676,4427
677,872
677,1994
677,2375
677,3380
677,3668
677,4208
677,5286
677,5424
678,515
679,5908
680,3702
680,4950
681,1624
682,4876
683,194
683,226
683,455
683,908
683,2047
683,2162
683,2564
683,2949
683,3342
683,3650
683,3700
683,4450
683,4909
683,4971
683,4997
683,5243
683,5615
683,5762
683,6338
684,1498
685,895
685,3010
686,285
687,1625
688,2039
689,1859
690,2771
691,5369
691,5762
692,1704
692,5387
693,3073
694,152
695,2985
695,3399
696,1274
696,2410
696,2916
696,5979
697,570
697,2601
697,3689
697,3729
697,6300
698,584
698,1838
698,2496
698,3557
698,3898
698,4090
698,5686
698,5724
698,5759
699,2238
699,2843
699,3416
699,3567
699,4444
699,4752
699,5007
699,5086
699,5982
700,4021
701,5731
702,5553
703,6040
703,6421
704,391
705,226
705,5892
706,5126
707,2789
707,6131
708,182
708,1873
708,3808
709,2776
710,4493
711,111
711,1843
711,2107
711,3270
712,1300
713,1914
714,2784
715,3394
716,2239
716,2636
717,1520
717,2608
717,3756
717,4887
717,5960
718,5803
719,1360
720,775
720,825
720,1174
720,1425
720,1540
720,1826
720,1886
720,2013
720,2097
720,2805
720,4013
720,4018
720,4337
720,4516
720,4528
720,4692
720,5615
720,6178
721,3767
721,4152
721,4458
721,5969
722,3261
723,5982
725,1300
726,321
726,729
726,2052
726,2065
726,3635
727,1572
727,3586
727,4955
727,5705
727,5774
728,4992
729,160
729,726
729,3093
729,6288
730,1600
730,1917
730,4510
731,2247
731,4215
732,1699
733,5553
734,4920
734,6139
735,2784
736,3268
736,3951
738,2350
739,5653
740,450
741,3710
742,877
742,2865
742,3955
742,4136
742,5608
743,5428
744,506
744,1433
744,1464
744,2400
744,2699
744,3209
744,5437
745,1660
746,1992
747,4227
748,3476
749,3693
750,1552
751,846
752,5955
753,2467
754,3544
754,4831
754,5618
755,881
755,1939
755,4306
755,5590
756,1456
757,5694
758,1777
759,2605
760,2034
761,130
761,2136
761,2921
761,3102
761,3330
761,3747
761,3874
761,3995
762,523
763,3128
764,1170
764,2081
764,2107
764,4119
765,4071
766,6220
767,1197
768,133
769,986
769,1283
769,2387
770,57
770,6263
771,1551
772,1017
773,2849
774,5595
775,720
775,3940
776,5982
777,5813
778,307
778,1359
778,2870
778,5317
779,2110
779,2396
779,3539
779,3751
780,4697
781,1477
782,502
783,1997
784,1291
784,1767
784,2326
784,2555
785,536
785,1901
785,2730
785,6207
786,6325
787,5040
788,1305
789,1045
789,1136
789,1995
789,2101
789,4734
789,4843
789,5880
789,6018
790,5553
791,590
792,951
792,2440
793,512
793,3450
793,4255
793,4582
793,5012
794,1231
795,428
795,2784
795,5797
796,49
798,5655
798,6177
799,4831
800,300
801,5199
802,4323
803,2784
804,872
805,1969
807,2077
808,3828
809,4361
810,3278
811,4541
812,1744
