node1,node2
6717,2519
6717,4813
6717,5621
6717,5806
6717,5931
6717,5961
6717,6064
6721,186
6721,882
6721,1467
6721,3905
6721,5027
6721,5235
6727,186
6727,882
6727,2140
6727,6407
6727,6420
6729,162
6729,186
6729,882
6729,1301
6729,1479
6729,2140
6729,3824
6729,3968
6729,4409
6729,4910
6729,5553
6729,5755
6729,6000
6729,6309
6732,108
6732,186
6732,451
6732,761
6732,852
6732,882
6732,967
6732,2180
6732,2355
6732,2444
6732,2741
6732,2862
6732,2921
6732,2969
6732,3123
6732,3747
6732,3803
6732,3866
6732,3924
6732,4813
6732,4832
6732,4920
6732,4971
6732,5084
6732,5273
6732,5597
6732,5621
6732,5961
6732,6116
6732,6376
6734,186
6734,929
6734,3449
6734,3729
6734,4493
6734,4813
6734,5621
6734,5961
6734,6376
6737,186
6737,502
6737,882
6737,2314
6737,4971
6737,5553
6737,5597
6737,5770
6737,6309
6739,186
6739,226
6739,882
6739,1289
6739,2519
6739,3092
6739,4971
6739,5615
6739,5621
6739,5806
6739,5931
6739,5961
6739,6064
6739,6315
6741,186
6741,882
6741,967
6741,3924
6741,4242
6741,5988
6742,186
6742,385
6742,3729
6742,4493
6742,4813
6742,5084
6742,5621
6742,5961
6742,6376
6743,872
6743,882
6743,4208
6743,5033
6746,186
6746,226
6746,683
6746,2151
6747,186
6747,231
6747,445
6747,882
6747,1035
6747,1158
6747,1301
6747,1969
6747,2399
6747,2444
6747,2698
6747,2921
6747,2969
6747,2970
6747,3073
6747,3215
6747,3352
6747,3476
6747,3645
6747,3915
6747,3924
6747,3968
6747,4071
6747,4813
6747,4841
6747,5273
6747,5621
6747,5653
6747,5655
6747,5795
6747,5961
6747,6058
6747,6376
6748,186
6748,2519
6748,4813
6748,5621
6748,5806
6748,5931
6748,5961
6748,6064
6752,186
6752,489
6752,683
6752,882
6752,4971
6752,5615
6756,186
6756,652
6756,882
6756,1392
6756,2227
6756,2733
6756,2825
6756,2931
6756,5588
6758,162
6758,186
6758,882
6758,1003
6758,6271
6760,186
6760,2377
6760,2733
6760,2931
6764,186
6764,3221
6764,3367
6764,6263
6766,186
6766,395
6766,882
6766,2377
6766,2733
6766,3251
6766,3795
6766,4971
6766,6271
6767,186
6767,652
6767,882
6767,1589
6767,2006
6767,2034
6767,2227
6767,2733
6767,3397
6767,5338
6767,5588
6767,6000
6768,186
6768,882
6768,4077
6768,4971
6768,5033
6768,5698
6768,6000
6768,6163
6768,6271
6772,186
6772,445
6772,1969
6772,2399
6772,2969
6772,3352
6772,5961
6772,6376
6784,45
6784,186
